no,Country,Region,population,birth rate per 1000,death rate per 1000,median age,labor force,unemployment (%),GDP per capita (US$),physician density (physicians/1000 population),Health expenditure (% of GDP),Total area,Land borders,Life expectancy at birth 1960,Life expectancy at birth 1970,Life expectancy at birth 1980,Life expectancy at birth 1990,Life expectancy at birth 2000,Life expectancy at birth 2010
12,Burundi,"Africa, S",11844520,40.9,8.6,17.1,5012000,NA,700,0.05,7.5,27830,Yes,41.28,43.83,47.31,48.05,51.55,54.86
13,Cabo Verde,"Africa, S",568373,19.7,6,25.8,196100,9,7000,0.77,4.8,4033,No,48.93,53.67,61.71,64.88,69.75,71.94
14,Cameroon,"Africa, S",25640965,35,9.4,18.6,9912000,4.3,3700,0.09,4.1,475440,Yes,41.55,46.1,51.21,52.21,50.03,55.42
15,Central African Republic,"Africa, S",5745062,34,12.9,19.8,2242000,6.9,700,0.06,4.2,622984,Yes,36.49,41.95,48.89,48.77,43.94,47.56
16,Chad,"Africa, S",15833116,43,10.5,15.8,5654000,NA,2300,0.05,3.6,1284000,Yes,38.02,41.33,44.7,46.95,47.59,50.23
17,Comoros,"Africa, S",821164,25.3,7.1,20.2,278500,6.5,1600,0.17,6.7,2235,No,41.45,45.64,50.62,56.68,59.46,61.86
18,"Congo, Republic of the","Africa, S",5062021,33.7,9.2,19.6,2055000,36,6800,0.12,5.2,342000,Yes,48.6,53.38,56.14,55.95,51.4,60.47
19,Cote d'Ivoire,"Africa, S",26260582,30.1,8.4,19.9,8747000,9.4,3900,0.23,5.7,322463,Yes,36.87,43.7,50.62,52.49,46.67,50.42
20,Djibouti,"Africa, S",884017,23.3,7.5,24.2,294600,40,3600,0.22,10.6,23200,Yes,44.04,49.16,53.64,56.68,57.02,60.38
21,DR Congo,"Africa, S",85281024,32.8,9.4,18.8,31360000,NA,800,0.09,4.3,2344858,Yes,41.1,43.92,46.36,49.04,50.04,56.91
22,Equatorial Guinea,"Africa, S",797457,31.7,7.6,19.9,195200,8.6,37400,0.4,3.8,28051,Yes,36.74,39.74,43.77,48.24,52.75,55.91
23,Eritrea,"Africa, S",5970646,29.1,7.1,19.9,2710000,5.8,1600,NA,3.3,117600,Yes,38.42,43.16,46.65,49.59,55.26,62.18
24,Ethiopia,"Africa, S",108386391,36,7.5,18,52820000,17.5,2200,0.1,4.9,1104300,Yes,38.42,42.94,43.75,47.1,51.94,61.63
25,Gabon,"Africa, S",2119036,26.5,6.2,20.5,557800,28,18100,0.36,3.4,267667,Yes,39.59,46.7,55.01,61.22,59.3,62.89
